pollster,date,sample,approve,disapprove,spread
rcp_average,11/18 - 12/14,,43.8,53.4,+9.6
Rasmussen Reports,12/8 - 12/14,1500 LV,46,52,+6.0
Big Data Poll,12/10 - 12/12,3004 RV,47,50,+3.0
Economist/YouGov,12/5 - 12/8,1380 RV,43,54,+11.0
AP/NORC**,12/4 - 12/8,1146 A,36,61,+25.0
Harvard-Harris,12/2 - 12/4,2204 RV,47,49,+2.0
RMG Research**,12/3 - 12/11,3000 RV,47,51,+4.0
Morning Consult,12/5 - 12/7,2201 RV,45,52,+7.0
Reuters/Ipsos,12/3 - 12/8,4434 A,41,57,+16.0
Quantus Insights,12/4 - 12/5,1000 RV,43,53,+10.0
Daily Mail,12/3 - 12/5,1000 RV,47,53,+6.0
NBC News Decision Desk,11/20 - 12/8,20252 A,42,58,+16.0
I&amp;I/TIPP,11/25 - 11/29,1483 A,43,47,+4.0
Yahoo News,11/20 - 11/24,1132 RV,44,54,+10.0
InsiderAdvantage,11/20 - 11/21,800 LV,44,49,+5.0
CBS News,11/19 - 11/21,2489 A,40,60,+20.0
Emerson,11/18 - 11/21,1000 RV,45,55,+10.0
Economist/YouGov,11/28 - 12/1,1456 RV,42,56,+14.0
Big Data Poll,11/28 - 12/1,2008 RV,45,51,+6.0
Morning Consult,11/26 - 11/30,2200 RV,45,52,+7.0
RMG Research*,11/19 - 12/4,3000 RV,45,53,+8.0
Economist/YouGov,11/21 - 11/24,1511 RV,43,56,+13.0
Morning Consult,11/21 - 11/23,2200 RV,45,52,+7.0
Big Data Poll,11/20 - 11/21,2006 RV,45,50,+5.0
Daily Mail,11/19 - 11/20,1246 RV,45,55,+10.0
Economist/YouGov,11/15 - 11/17,1382 RV,43,56,+13.0
FOX News,11/14 - 11/17,1005 RV,41,58,+17.0
RMG Research*,11/12 - 11/20,3000 R,46,53,+7.0
Gallup,11/3 - 11/25,1321 A,36,60,+24.0
Reuters/Ipsos,11/14 - 11/17,1017 A,38,60,+22.0
Morning Consult,11/14 - 11/16,2201 RV,46,52,+6.0
NPR/PBS/Marist,11/10 - 11/13,1291 RV,40,57,+17.0
Quantus Insights,11/11 - 11/12,1000 RV,43,55,+12.0
Reuters/Ipsos,11/7 - 11/12,938 RV,40,58,+18.0
Marquette,11/5 - 11/12,1052 A,43,57,+14.0
Economist/YouGov,11/7 - 11/10,1500 RV,43,55,+12.0
Morning Consult,11/7 - 11/9,2201 RV,44,54,+10.0
RMG Research*,11/5 - 11/13,3000 RV,49,50,+1.0
AP/NORC**,11/6 - 11/10,1143 A,36,62,+26.0
Harvard-Harris,11/4 - 11/6,2000 RV,44,51,+7.0
Emerson,11/3 - 11/4,1000 RV,41,49,+8.0
Economist/YouGov,10/31 - 11/3,1475 RV,43,55,+12.0
Morning Consult,10/31 - 11/2,2202 RV,45,52,+7.0
RMG Research*,10/29 - 11/6,3000 RV,46,51,+5.0
CBS News,10/29 - 10/31,2124 A,41,59,+18.0
I&amp;I/TIPP,10/28 - 10/31,1418 A,40,51,+11.0
CNN,10/27 - 10/30,954 RV,39,61,+22.0
NewsNation,10/27 - 10/29,1159 LV,43,56,+13.0
Big Data Poll,10/26 - 10/28,2984 RV,45,51,+6.0
RMG Research*,10/22 - 10/30,3000 RV,48,49,+1.0
ABC/Wash Post/Ipsos,10/24 - 10/28,2203 RV,43,57,+14.0
NBC News,10/24 - 10/28,1000 RV,43,55,+12.0
Economist/YouGov,10/24 - 10/27,1476 RV,43,55,+12.0
Morning Consult,10/24 - 10/26,2202 RV,46,51,+5.0
Reuters/Ipsos,10/24 - 10/26,1018 A,40,57,+17.0
Yahoo News,10/23 - 10/27,1197 RV,43,55,+12.0
Economist/YouGov,10/17 - 10/20,1448 RV,43,55,+12.0
RMG Research*,10/15 - 10/22,3000 RV,51,47,+4.0
Morning Consult,10/17 - 10/19,2200 RV,46,51,+5.0
Quinnipiac,10/16 - 10/20,1327 RV,40,54,+14.0
Reuters/Ipsos,10/15 - 10/20,4385 A,42,56,+14.0
Daily Mail,10/14 - 10/15,1004 RV,51,49,+2.0
Emerson,10/13 - 10/14,1000 RV,45,48,+3.0
RMG Research*,10/8 - 10/16,3000 RV,52,47,+5.0
Gallup,10/1 - 10/16,1000 A,41,54,+13.0
Economist/YouGov,10/10 - 10/13,1467 RV,44,54,+10.0
Morning Consult,10/10 - 10/12,2202 RV,45,53,+8.0
AP/NORC**,10/9 - 10/13,1289 A,37,61,+24.0
CNBC,10/8 - 10/12,1000 A,44,52,+8.0
Quantus Insights,10/6 - 10/8,1000 RV,47,51,+4.0
